2020-08-04 21:47:46 remove grub2-common:amd64 2.04-1ubuntu26.2 <none>
2020-08-04 21:47:46 status half-configured grub2-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:46 status half-installed grub2-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:46 status triggers-pending install-info:amd64 6.7.0.dfsg.2-5
2020-08-04 21:47:46 status config-files grub2-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:46 remove grub-pc-bin:amd64 2.04-1ubuntu26.2 <none>
2020-08-04 21:47:46 status half-configured grub-pc-bin:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:46 status half-installed grub-pc-bin:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 status config-files grub-pc-bin:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 status not-installed grub-pc-bin:amd64 <none>
2020-08-04 21:47:47 remove grub-common:amd64 2.04-1ubuntu26.2 <none>
2020-08-04 21:47:47 status half-configured grub-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 status half-installed grub-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 status config-files grub-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 startup packages configure
2020-08-04 21:47:47 trigproc install-info:amd64 6.7.0.dfsg.2-5 <none>
2020-08-04 21:47:47 status half-configured install-info:amd64 6.7.0.dfsg.2-5
2020-08-04 21:47:47 status installed install-info:amd64 6.7.0.dfsg.2-5
2020-08-04 21:47:47 trigproc man-db:amd64 2.9.1-1 <none>
2020-08-04 21:47:47 status half-configured man-db:amd64 2.9.1-1
2020-08-04 21:47:47 status installed man-db:amd64 2.9.1-1
2020-08-04 21:47:47 startup packages purge
2020-08-04 21:47:47 purge grub2-common:amd64 2.04-1ubuntu26.2 <none>
2020-08-04 21:47:47 status config-files grub2-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 status not-installed grub2-common:amd64 <none>
2020-08-04 21:47:47 purge grub-pc:amd64 2.04-1ubuntu26.2 <none>
2020-08-04 21:47:47 status config-files grub-pc:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 status not-installed grub-pc:amd64 <none>
2020-08-04 21:47:47 purge grub-common:amd64 2.04-1ubuntu26.2 <none>
2020-08-04 21:47:47 status config-files grub-common:amd64 2.04-1ubuntu26.2
2020-08-04 21:47:47 status triggers-pending systemd:amd64 245.4-4ubuntu3.2
2020-08-04 21:47:48 status not-installed grub-common:amd64 <none>
2020-08-04 21:47:48 startup packages configure
2020-08-04 21:47:48 trigproc systemd:amd64 245.4-4ubuntu3.2 <none>
2020-08-04 21:47:48 status half-configured systemd:amd64 245.4-4ubuntu3.2
2020-08-04 21:47:48 status installed systemd:amd64 245.4-4ubuntu3.2
2020-08-04 22:07:39 startup archives unpack
2020-08-04 22:07:39 install dbus-x11:amd64 <none> 1.12.16-2ubuntu2.1
2020-08-04 22:07:39 status half-installed dbus-x11:amd64 1.12.16-2ubuntu2.1
2020-08-04 22:07:39 status triggers-pending man-db:amd64 2.9.1-1
2020-08-04 22:07:39 status unpacked dbus-x11:amd64 1.12.16-2ubuntu2.1
2020-08-04 22:07:40 install fonts-dejavu-core:all <none> 2.37-1
2020-08-04 22:07:40 status half-installed fonts-dejavu-core:all 2.37-1
2020-08-04 22:07:40 status unpacked fonts-dejavu-core:all 2.37-1
2020-08-04 22:07:40 install fontconfig-config:all <none> 2.13.1-2ubuntu3
2020-08-04 22:07:40 status half-installed fontconfig-config:all 2.13.1-2ubuntu3
2020-08-04 22:07:40 status unpacked fontconfig-config:all 2.13.1-2ubuntu3
2020-08-04 22:07:40 install libasyncns0:amd64 <none> 0.8-6
2020-08-04 22:07:40 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2020-08-04 22:07:40 status half-installed libasyncns0:amd64 0.8-6
2020-08-04 22:07:40 status unpacked libasyncns0:amd64 0.8-6
2020-08-04 22:07:40 install libdrm-amdgpu1:amd64 <none> 2.4.101-2
2020-08-04 22:07:40 status half-installed libdrm-amdgpu1:amd64 2.4.101-2
2020-08-04 22:07:40 status unpacked libdrm-amdgpu1:amd64 2.4.101-2
2020-08-04 22:07:40 install libpciaccess0:amd64 <none> 0.16-0ubuntu1
2020-08-04 22:07:40 status half-installed libpciaccess0:amd64 0.16-0ubuntu1
2020-08-04 22:07:40 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2020-08-04 22:07:40 install libdrm-intel1:amd64 <none> 2.4.101-2
2020-08-04 22:07:40 status half-installed libdrm-intel1:amd64 2.4.101-2
2020-08-04 22:07:40 status unpacked libdrm-intel1:amd64 2.4.101-2
2020-08-04 22:07:40 install libdrm-nouveau2:amd64 <none> 2.4.101-2
2020-08-04 22:07:40 status half-installed libdrm-nouveau2:amd64 2.4.101-2
2020-08-04 22:07:40 status unpacked libdrm-nouveau2:amd64 2.4.101-2
2020-08-04 22:07:40 install libdrm-radeon1:amd64 <none> 2.4.101-2
2020-08-04 22:07:40 status half-installed libdrm-radeon1:amd64 2.4.101-2
2020-08-04 22:07:40 status unpacked libdrm-radeon1:amd64 2.4.101-2
2020-08-04 22:07:40 install libflac8:amd64 <none> 1.3.3-1build1
2020-08-04 22:07:40 status half-installed libflac8:amd64 1.3.3-1build1
2020-08-04 22:07:40 status unpacked libflac8:amd64 1.3.3-1build1
2020-08-04 22:07:40 install libfontconfig1:amd64 <none> 2.13.1-2ubuntu3
2020-08-04 22:07:40 status half-installed libfontconfig1:amd64 2.13.1-2ubuntu3
2020-08-04 22:07:40 status unpacked libfontconfig1:amd64 2.13.1-2ubuntu3
2020-08-04 22:07:40 install libfontenc1:amd64 <none> 1:1.1.4-0ubuntu1
2020-08-04 22:07:40 status half-installed libfontenc1:amd64 1:1.1.4-0ubuntu1
2020-08-04 22:07:40 status unpacked libfontenc1:amd64 1:1.1.4-0ubuntu1
2020-08-04 22:07:40 install libglapi-mesa:amd64 <none> 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:40 status half-installed libglapi-mesa:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:40 status unpacked libglapi-mesa:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:40 install libllvm10:amd64 <none> 1:10.0.0-4ubuntu1
2020-08-04 22:07:40 status half-installed libllvm10:amd64 1:10.0.0-4ubuntu1
2020-08-04 22:07:42 status unpacked libllvm10:amd64 1:10.0.0-4ubuntu1
2020-08-04 22:07:42 install libsensors-config:all <none> 1:3.6.0-2ubuntu1
2020-08-04 22:07:42 status half-installed libsensors-config:all 1:3.6.0-2ubuntu1
2020-08-04 22:07:42 status unpacked libsensors-config:all 1:3.6.0-2ubuntu1
2020-08-04 22:07:42 install libsensors5:amd64 <none> 1:3.6.0-2ubuntu1
2020-08-04 22:07:42 status half-installed libsensors5:amd64 1:3.6.0-2ubuntu1
2020-08-04 22:07:42 status unpacked libsensors5:amd64 1:3.6.0-2ubuntu1
2020-08-04 22:07:42 install libvulkan1:amd64 <none> 1.2.131.2-1
2020-08-04 22:07:42 status half-installed libvulkan1:amd64 1.2.131.2-1
2020-08-04 22:07:42 status unpacked libvulkan1:amd64 1.2.131.2-1
2020-08-04 22:07:42 install libgl1-mesa-dri:amd64 <none> 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:42 status half-installed libgl1-mesa-dri:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:44 status unpacked libgl1-mesa-dri:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:44 install libx11-xcb1:amd64 <none> 2:1.6.9-2ubuntu1
2020-08-04 22:07:44 status half-installed libx11-xcb1:amd64 2:1.6.9-2ubuntu1
2020-08-04 22:07:44 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1
2020-08-04 22:07:44 install libxcb-dri2-0:amd64 <none> 1.14-2
2020-08-04 22:07:44 status half-installed libxcb-dri2-0:amd64 1.14-2
2020-08-04 22:07:44 status unpacked libxcb-dri2-0:amd64 1.14-2
2020-08-04 22:07:44 install libxcb-dri3-0:amd64 <none> 1.14-2
2020-08-04 22:07:44 status half-installed libxcb-dri3-0:amd64 1.14-2
2020-08-04 22:07:44 status unpacked libxcb-dri3-0:amd64 1.14-2
2020-08-04 22:07:44 install libxcb-glx0:amd64 <none> 1.14-2
2020-08-04 22:07:44 status half-installed libxcb-glx0:amd64 1.14-2
2020-08-04 22:07:44 status unpacked libxcb-glx0:amd64 1.14-2
2020-08-04 22:07:44 install libxcb-present0:amd64 <none> 1.14-2
2020-08-04 22:07:44 status half-installed libxcb-present0:amd64 1.14-2
2020-08-04 22:07:44 status unpacked libxcb-present0:amd64 1.14-2
2020-08-04 22:07:44 install libxcb-sync1:amd64 <none> 1.14-2
2020-08-04 22:07:44 status half-installed libxcb-sync1:amd64 1.14-2
2020-08-04 22:07:44 status unpacked libxcb-sync1:amd64 1.14-2
2020-08-04 22:07:44 install libxdamage1:amd64 <none> 1:1.1.5-2
2020-08-04 22:07:44 status half-installed libxdamage1:amd64 1:1.1.5-2
2020-08-04 22:07:44 status unpacked libxdamage1:amd64 1:1.1.5-2
2020-08-04 22:07:44 install libxfixes3:amd64 <none> 1:5.0.3-2
2020-08-04 22:07:44 status half-installed libxfixes3:amd64 1:5.0.3-2
2020-08-04 22:07:44 status unpacked libxfixes3:amd64 1:5.0.3-2
2020-08-04 22:07:44 install libxshmfence1:amd64 <none> 1.3-1
2020-08-04 22:07:44 status half-installed libxshmfence1:amd64 1.3-1
2020-08-04 22:07:44 status unpacked libxshmfence1:amd64 1.3-1
2020-08-04 22:07:44 install libxxf86vm1:amd64 <none> 1:1.1.4-1build1
2020-08-04 22:07:44 status half-installed libxxf86vm1:amd64 1:1.1.4-1build1
2020-08-04 22:07:44 status unpacked libxxf86vm1:amd64 1:1.1.4-1build1
2020-08-04 22:07:44 install libglx-mesa0:amd64 <none> 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:44 status half-installed libglx-mesa0:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:44 status unpacked libglx-mesa0:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:44 install x11-common:all <none> 1:7.7+19ubuntu14
2020-08-04 22:07:44 status half-installed x11-common:all 1:7.7+19ubuntu14
2020-08-04 22:07:44 status triggers-pending systemd:amd64 245.4-4ubuntu3.2
2020-08-04 22:07:44 status unpacked x11-common:all 1:7.7+19ubuntu14
2020-08-04 22:07:44 install libice6:amd64 <none> 2:1.0.10-0ubuntu1
2020-08-04 22:07:44 status half-installed libice6:amd64 2:1.0.10-0ubuntu1
2020-08-04 22:07:44 status unpacked libice6:amd64 2:1.0.10-0ubuntu1
2020-08-04 22:07:44 install libvorbisenc2:amd64 <none> 1.3.6-2ubuntu1
2020-08-04 22:07:44 status half-installed libvorbisenc2:amd64 1.3.6-2ubuntu1
2020-08-04 22:07:44 status unpacked libvorbisenc2:amd64 1.3.6-2ubuntu1
2020-08-04 22:07:44 install libsndfile1:amd64 <none> 1.0.28-7
2020-08-04 22:07:44 status half-installed libsndfile1:amd64 1.0.28-7
2020-08-04 22:07:44 status unpacked libsndfile1:amd64 1.0.28-7
2020-08-04 22:07:44 install libpulse0:amd64 <none> 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:44 status half-installed libpulse0:amd64 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:44 status unpacked libpulse0:amd64 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:44 install libpulsedsp:amd64 <none> 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:44 status half-installed libpulsedsp:amd64 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:45 status unpacked libpulsedsp:amd64 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:45 install libsm6:amd64 <none> 2:1.2.3-1
2020-08-04 22:07:45 status half-installed libsm6:amd64 2:1.2.3-1
2020-08-04 22:07:45 status unpacked libsm6:amd64 2:1.2.3-1
2020-08-04 22:07:45 install libwayland-client0:amd64 <none> 1.18.0-1
2020-08-04 22:07:45 status half-installed libwayland-client0:amd64 1.18.0-1
2020-08-04 22:07:45 status unpacked libwayland-client0:amd64 1.18.0-1
2020-08-04 22:07:45 install libxt6:amd64 <none> 1:1.1.5-1
2020-08-04 22:07:45 status half-installed libxt6:amd64 1:1.1.5-1
2020-08-04 22:07:45 status unpacked libxt6:amd64 1:1.1.5-1
2020-08-04 22:07:45 install libxmu6:amd64 <none> 2:1.1.3-0ubuntu1
2020-08-04 22:07:45 status half-installed libxmu6:amd64 2:1.1.3-0ubuntu1
2020-08-04 22:07:45 status unpacked libxmu6:amd64 2:1.1.3-0ubuntu1
2020-08-04 22:07:45 install libxpm4:amd64 <none> 1:3.5.12-1
2020-08-04 22:07:45 status half-installed libxpm4:amd64 1:3.5.12-1
2020-08-04 22:07:45 status unpacked libxpm4:amd64 1:3.5.12-1
2020-08-04 22:07:45 install libxaw7:amd64 <none> 2:1.0.13-1
2020-08-04 22:07:45 status half-installed libxaw7:amd64 2:1.0.13-1
2020-08-04 22:07:45 status unpacked libxaw7:amd64 2:1.0.13-1
2020-08-04 22:07:45 install libxcb-randr0:amd64 <none> 1.14-2
2020-08-04 22:07:45 status half-installed libxcb-randr0:amd64 1.14-2
2020-08-04 22:07:45 status unpacked libxcb-randr0:amd64 1.14-2
2020-08-04 22:07:45 install libxcb-shape0:amd64 <none> 1.14-2
2020-08-04 22:07:45 status half-installed libxcb-shape0:amd64 1.14-2
2020-08-04 22:07:45 status unpacked libxcb-shape0:amd64 1.14-2
2020-08-04 22:07:45 install libxcomposite1:amd64 <none> 1:0.4.5-1
2020-08-04 22:07:45 status half-installed libxcomposite1:amd64 1:0.4.5-1
2020-08-04 22:07:45 status unpacked libxcomposite1:amd64 1:0.4.5-1
2020-08-04 22:07:45 install libxrender1:amd64 <none> 1:0.9.10-1
2020-08-04 22:07:45 status half-installed libxrender1:amd64 1:0.9.10-1
2020-08-04 22:07:45 status unpacked libxrender1:amd64 1:0.9.10-1
2020-08-04 22:07:45 install libxft2:amd64 <none> 2.3.3-0ubuntu1
2020-08-04 22:07:45 status half-installed libxft2:amd64 2.3.3-0ubuntu1
2020-08-04 22:07:45 status unpacked libxft2:amd64 2.3.3-0ubuntu1
2020-08-04 22:07:45 install libxi6:amd64 <none> 2:1.7.10-0ubuntu1
2020-08-04 22:07:45 status half-installed libxi6:amd64 2:1.7.10-0ubuntu1
2020-08-04 22:07:45 status unpacked libxi6:amd64 2:1.7.10-0ubuntu1
2020-08-04 22:07:45 install libxinerama1:amd64 <none> 2:1.1.4-2
2020-08-04 22:07:45 status half-installed libxinerama1:amd64 2:1.1.4-2
2020-08-04 22:07:45 status unpacked libxinerama1:amd64 2:1.1.4-2
2020-08-04 22:07:45 install libxkbfile1:amd64 <none> 1:1.1.0-1
2020-08-04 22:07:45 status half-installed libxkbfile1:amd64 1:1.1.0-1
2020-08-04 22:07:45 status unpacked libxkbfile1:amd64 1:1.1.0-1
2020-08-04 22:07:45 install libxrandr2:amd64 <none> 2:1.5.2-0ubuntu1
2020-08-04 22:07:45 status half-installed libxrandr2:amd64 2:1.5.2-0ubuntu1
2020-08-04 22:07:45 status unpacked libxrandr2:amd64 2:1.5.2-0ubuntu1
2020-08-04 22:07:45 install libxtst6:amd64 <none> 2:1.2.3-1
2020-08-04 22:07:45 status half-installed libxtst6:amd64 2:1.2.3-1
2020-08-04 22:07:45 status unpacked libxtst6:amd64 2:1.2.3-1
2020-08-04 22:07:45 install libxv1:amd64 <none> 2:1.0.11-1
2020-08-04 22:07:45 status half-installed libxv1:amd64 2:1.0.11-1
2020-08-04 22:07:45 status unpacked libxv1:amd64 2:1.0.11-1
2020-08-04 22:07:45 install libxxf86dga1:amd64 <none> 2:1.1.5-0ubuntu1
2020-08-04 22:07:45 status half-installed libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2020-08-04 22:07:45 status unpacked libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2020-08-04 22:07:45 install mesa-vulkan-drivers:amd64 <none> 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:45 status half-installed mesa-vulkan-drivers:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:46 status unpacked mesa-vulkan-drivers:amd64 20.0.8-0ubuntu1~20.04.1
2020-08-04 22:07:46 install pulseaudio-utils:amd64 <none> 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:46 status half-installed pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:46 status unpacked pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.5
2020-08-04 22:07:46 install wslu:all <none> 2.3.6-0ubuntu2~20.04.0
2020-08-04 22:07:46 status half-installed wslu:all 2.3.6-0ubuntu2~20.04.0
2020-08-04 22:07:46 status unpacked wslu:all 2.3.6-0ubuntu2~20.04.0
2020-08-04 22:07:46 install ubuntu-wsl:amd64 <none> 1.450.1
2020-08-04 22:07:46 status half-installed ubuntu-wsl:amd64 1.450.1
2020-08-04 22:07:46 status unpacked ubuntu-wsl:amd64 1.450.1
2020-08-04 22:07:46 install update-motd:all <none> 3.6-0ubuntu6
2020-08-04 22:07:46 status half-installed update-motd:all 3.6-0ubuntu6
2020-08-04 22:07:46 status unpacked update-motd:all 3.6-0ubuntu6
2020-08-04 22:07:46 install libglvnd0:amd64 <none> 1.3.1-1
2020-08-04 22:07:46 status half-installed libglvnd0:amd64 1.3.1-1
2020-08-04 22:07:46 status unpacked libglvnd0:amd64 1.3.1-1
2020-08-04 22:07:46 install libglx0:amd64 <none> 1.3.1-1
2020-08-04 22:07:46 status half-installed libglx0:amd64 1.3.1-1
2020-08-04 22:07:46 status unpacked libglx0:amd64 1.3.1-1
2020-08-04 22:07:46 install libgl1:amd64 <none> 1.3.1-1
2020-08-04 22:07:46 status half-installed libgl1:amd64 1.3.1-1
2020-08-04 22:07:46 status unpacked libgl1:amd64 1.3.1-1
2020-08-04 22:07:46 install x11-utils:amd64 <none> 7.7+5
2020-08-04 22:07:46 status half-installed x11-utils:amd64 7.7+5
2020-08-04 22:07:46 status unpacked x11-utils:amd64 7.7+5
2020-08-04 22:07:46 install show-motd:all <none> 3.6-0ubuntu6
2020-08-04 22:07:46 status half-installed show-motd:all 3.6-0ubuntu6
2020-08-04 22:07:46 status unpacked show-motd:all 3.6-0ubuntu6
2020-08-04 22:07:47 startup packages configure
2020-08-04 22:07:47 configure libxcb-dri3-0:amd64 1.14-2 <none>
2020-08-04 22:07:47 status unpacked libxcb-dri3-0:amd64 1.14-2
2020-08-04 22:07:47 status half-configured libxcb-dri3-0:amd64 1.14-2
2020-08-04 22:07:47 status installed libxcb-dri3-0:amd64 1.14-2
2020-08-04 22:07:47 configure libx11-xcb1:amd64 2:1.6.9-2ubuntu1 <none>
2020-08-04 22:07:47 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1
2020-08-04 22:07:47 status half-configured libx11-xcb1:amd64 2:1.6.9-2ubuntu1
2020-08-04 22:07:47 status installed libx11-xcb1:amd64 2:1.6.9-2ubuntu1
2020-08-04 22:07:47 configure libpciaccess0:amd64 0.16-0ubuntu1 <none>
2020-08-04 22:07:47 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2020-08-04 22:07:47 status half-configured libpciaccess0:amd64 0.16-0ubuntu1
2020-08-04 22:07:47 status installed libpciaccess0:amd64 0.16-0ubuntu1
2020-08-04 22:07:47 configure libdrm-nouveau2:amd64 2.4.101-2 <none>
2020-08-04 22:07:47 status unpacked libdrm-nouveau2:amd64 2.4.101-2
2020-08-04 22:07:47 status half-configured libdrm-nouveau2:amd64 2.4.101-2
2020-08-04 22:07:47 status installed libdrm-nouveau2:amd64 2.4.101-2
2020-08-04 22:07:47 configure libxdamage1:amd64 1:1.1.5-2 <none>
2020-08-04 22:07:47 status unpacked libxdamage1:amd64 1:1.1.5-2
2020-08-04 22:07:47 status half-configured libxdamage1:amd64 1:1.1.5-2
2020-08-04 22:07:47 status installed libxdamage1:amd64 1:1.1.5-2
2020-08-04 22:07:47 configure libxpm4:amd64 1:3.5.12-1 <none>
2020-08-04 22:07:47 status unpacked libxpm4:amd64 1:3.5.12-1
2020-08-04 22:07:47 status half-configured libxpm4:amd64 1:3.5.12-1
2020-08-04 22:07:47 status installed libxpm4:amd64 1:3.5.12-1
2020-08-04 22:07:47 configure libxi6:amd64 2:1.7.10-0ubuntu1 <none>
2020-08-04 22:07:47 status unpacked libxi6:amd64 2:1.7.10-0ubuntu1
2020-08-04 22:07:47 status half-configured libxi6:amd64 2:1.7.10-0ubuntu1
2020-08-04 22:07:47 status installed libxi6:amd64 2:1.7.10-0ubuntu1
2020-08-04 22:07:47 configure libxrender1:amd64 1:0.9.10-1 <none>
2020-08-04 22:07:47 status unpacked libxrender1:amd64 1:0.9.10-1
2020-08-04 22:07:47 status half-configured libxrender1:amd64 1:0.9.10-1
2020-08-04 22:07:47 status installed libxrender1:amd64 1:0.9.10-1
2020-08-04 22:07:47 configure libdrm-radeon1:amd64 2.4.101-2 <none>
2020-08-04 22:07:47 status unpacked libdrm-radeon1:amd64 2.4.101-2
2020-08-04 22:07:47 status half-configured libdrm-radeon1:amd64 2.4.101-2
2020-08-04 22:07:47 status installed libdrm-radeon1:amd64 2.4.101-2
2020-08-04 22:07:47 configure libglvnd0:amd64 1.3.1-1 <none>
2020-08-04 22:07:47 status unpacked libglvnd0:amd64 1.3.1-1
