id,equipment_id,person_id,verification_type,recognition_name,image_url,equipment_verification_id,add_time,update_time,operator_id,remark,recognition_type,temperature_val,signSimilar,qrCode
974,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/6be8f1a6b63f433c9d2af8b5618c7059/20200811115952_20200809170212.jpg,20200809170212,2020-08-09 17:02:12,2020-08-11 11:59:52,1,,0,-1℃,,
975,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/5037abd2c11c48bd80854e78b9b0cf6c/20200811115952_20200807115904.jpg,20200807115904,2020-08-07 11:59:04,2020-08-11 11:59:52,1,,0,36.4℃,,
976,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/181754177d964bf8a95cd859fa9b9b9c/20200811115952_20200807115908.jpg,20200807115908,2020-08-07 11:59:08,2020-08-11 11:59:52,1,,0,36.3℃,,
977,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/40cb228b63244a4a93e9dc9f1c59b763/20200811115952_20200807115843.jpg,20200807115843,2020-08-07 11:58:43,2020-08-11 11:59:52,1,,0,36.4℃,,
978,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/ce974f5b188741b49f02cff4ae988d81/20200811115952_20200807115520.jpg,20200807115520,2020-08-07 11:55:20,2020-08-11 11:59:52,1,,0,36.2℃,,
979,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/337fa5d3f139451fb7ece1ca5912a0da/20200811115953_20200807115517.jpg,20200807115517,2020-08-07 11:55:17,2020-08-11 11:59:53,1,,0,36.4℃,,
980,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/d65d16539e3249a19b3425f4c0af0495/20200811115953_20200807115505.jpg,20200807115505,2020-08-07 11:55:05,2020-08-11 11:59:53,1,,0,36.1℃,,
981,1,-2,3,未登録(- - -),,20200807115515,2020-08-07 11:55:15,2020-08-07 11:55:15,1,,0,36.5℃,,
982,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/ec5dda2c637a456486176976a1ce1983/20200811115953_20200807115510.jpg,20200807115510,2020-08-07 11:55:10,2020-08-11 11:59:53,1,,0,36.2℃,,
983,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/611d30151e1d4d61a80c84ad8f07f8d4/20200811115953_20200807115501.jpg,20200807115501,2020-08-07 11:55:01,2020-08-11 11:59:53,1,,0,36.3℃,,
